type,time,schedule,direction,operator
standard,9:33,weekday,sb,vta
standard,10:03,weekday,sb,vta
standard,10:33,weekday,sb,vta
standard,11:03,weekday,sb,vta
standard,11:33,weekday,sb,vta
standard,12:03,weekday,sb,vta
standard,12:33,weekday,sb,vta
standard,13:03,weekday,sb,vta
standard,13:33,weekday,sb,vta
standard,14:03,weekday,sb,vta
standard,14:33,weekday,sb,vta
standard,14:48,weekday,sb,vta
standard,15:03,weekday,sb,vta
standard,15:18,weekday,sb,vta
standard,15:33,weekday,sb,vta
standard,15:48,weekday,sb,vta
standard,16:03,weekday,sb,vta
standard,16:18,weekday,sb,vta
standard,16:33,weekday,sb,vta
standard,16:48,weekday,sb,vta
standard,17:03,weekday,sb,vta
standard,17:18,weekday,sb,vta
standard,17:33,weekday,sb,vta
standard,17:48,weekday,sb,vta
standard,18:04,weekday,sb,vta
standard,18:18,weekday,sb,vta
standard,18:33,weekday,sb,vta
standard,18:49,weekday,sb,vta
standard,19:03,weekday,sb,vta
standard,19:18,weekday,sb,vta
standard,19:33,weekday,sb,vta
standard,19:48,weekday,sb,vta
standard,20:03,weekday,sb,vta
standard,20:18,weekday,sb,vta
standard,20:32,weekday,sb,vta
standard,20:53,weekday,sb,vta
standard,21:23,weekday,sb,vta
standard,21:53,weekday,sb,vta
standard,22:23,weekday,sb,vta
standard,22:52,weekday,sb,vta
standard,23:21,weekday,sb,vta
standard,23:59,weekday,sb,vta
